"id","type_t","cluster_name_t","cluster_code_t","key_t","year_t","region_type_t","region_code_t","region_name_t","region_short_name_t","region_area_type_t","region_key_t","traded_b","subcluster_b","empflag_t","emp_tl","emp_reported_tl","qp1_tl","est_tl","ap_tl","private_wage_tf","rec_count_tl","supression_b","lq_tf","region_emp_per_tf","cluster_emp_per_tf","emp_tl_rank_i","emp_tl_per_rank_i","private_wage_tf_rank_i","private_wage_tf_per_rank_i","lq_tf_rank_i","lq_tf_per_rank_i","est_tl_rank_i","est_tl_per_rank_i","timestamp","qualifying_b","significant_b","strong_b","strong10_b","cluster_type"
"cluster/economic/57094/116/2016","cluster","Local Industrial Products and Services",116,"local_industrial_products_and_services",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",FALSE,FALSE,"",2506,771,7442,223,31459,40802.85,115,FALSE,1.1387266,0.0072502764,0.0048301634,64,35,130,72,74,41,59,33,"2018-10-01T03:23:00.952Z",NA,NA,NA,NA,"local"
"cluster/economic/57094/115/2016","cluster","Local Real Estate, Construction, and Development",115,"local_real_estate_construction_and_development",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",FALSE,FALSE,"",33654,18454,181719,3431,867355,47000.92,980,FALSE,0.87312835,0.09736664,0.0037035693,65,36,90,50,148,82,72,40,"2018-10-01T03:23:00.952Z",NA,NA,NA,NA,"local"
"cluster/economic/57094/114/2016","cluster","Local Community and Civic Organizations",114,"local_community_and_civic_organizations",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",FALSE,FALSE,"",18769,14694,86284,2771,363948,24768.477,371,FALSE,0.961814,0.05430185,0.004079749,64,35,43,24,111,62,34,19,"2018-10-01T03:23:00.952Z",NA,NA,NA,NA,"local"
"cluster/economic/57094/113/2016","cluster","Local Education and Training",113,"local_education_and_training",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",FALSE,FALSE,"",4147,1887,11520,156,47842,25353.47,70,FALSE,0.6436718,0.011997963,0.0027302778,72,40,100,55,149,83,67,37,"2018-10-01T03:23:00.952Z",NA,NA,NA,NA,"local"
"cluster/economic/57094/112/2016","cluster","Local Commercial Services",112,"local_commercial_services",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",FALSE,FALSE,"",27977,20862,157120,2062,679067,32550.426,458,FALSE,0.7284426,0.08094213,0.0030898524,61,34,146,81,76,42,59,33,"2018-10-01T03:23:00.952Z",NA,NA,NA,NA,"local"
"cluster/economic/57094/111/2016","cluster","Local Hospitality Establishments",111,"local_hospitality_establishments",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",FALSE,FALSE,"",54592,50642,167439,2623,740320,14618.696,302,FALSE,0.9926924,0.15794377,0.004210727,58,32,106,59,69,38,64,35,"2018-10-01T03:23:00.952Z",NA,NA,NA,NA,"local"
"cluster/economic/57094/110/2016","cluster","Local Entertainment and Media",110,"local_entertainment_and_media",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",FALSE,FALSE,"",6152,2672,15656,434,66266,24800.15,198,FALSE,1.0298709,0.017798763,0.0043684277,60,33,92,51,113,63,57,31,"2018-10-01T03:23:00.952Z",NA,NA,NA,NA,"local"
"cluster/economic/57094/109/2016","cluster","Local Retailing of Clothing and General Merchandise",109,"local_retailing_of_clothing_and_general_merchandise",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",FALSE,FALSE,"",26206,11041,44822,1089,194344,17602.03,282,FALSE,1.2572719,0.07581833,0.0053330003,56,31,86,48,35,19,56,31,"2018-10-01T03:23:00.952Z",NA,NA,NA,NA,"local"
"cluster/economic/57094/108/2016","cluster","Local Motor Vehicle Products and Services",108,"local_motor_vehicle_products_and_services",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",FALSE,FALSE,"",21793,15678,109598,2210,474007,30233.895,536,FALSE,1.1611582,0.063050784,0.0049253125,58,32,156,86,94,52,56,31,"2018-10-01T03:23:00.952Z",NA,NA,NA,NA,"local"
"cluster/economic/57094/107/2016","cluster","Local Financial Services",107,"local_financial_services",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",FALSE,FALSE,"",12244,10314,119754,1376,464338,45020.168,172,FALSE,0.9439794,0.035423934,0.0040040994,61,34,136,75,96,53,58,32,"2018-10-01T03:23:00.952Z",NA,NA,NA,NA,"local"
