"id","type_t","cluster_name_t","cluster_code_t","key_t","year_t","region_type_t","region_code_t","region_name_t","region_short_name_t","region_area_type_t","region_key_t","traded_b","subcluster_b","empflag_t","emp_tl","emp_reported_tl","qp1_tl","est_tl","ap_tl","private_wage_tf","rec_count_tl","supression_b","naics_b","lq_tf","region_emp_per_tf","cluster_emp_per_tf","emp_tl_rank_i","emp_tl_per_rank_i","private_wage_tf_rank_i","private_wage_tf_per_rank_i","lq_tf_rank_i","lq_tf_per_rank_i","est_tl_rank_i","est_tl_per_rank_i","timestamp","qualifying_b","significant_b","strong_b","strong10_b","cluster_type"
"cluster/state/01/116/2016","cluster","Local Industrial Products and Services",116,"local_industrial_products_and_services",2016,"state","01","Alabama","Alabama","state","alabama",FALSE,FALSE,"",10811,10811,116370,861,489088,45239.848,6,FALSE,TRUE,1.5356029,0.009777189,0.02083755,18,18,33,33,3,3,20,20,"2018-10-01T03:23:00.952Z",NA,NA,NA,NA,"local"
"cluster/state/01/115/2016","cluster","Local Real Estate, Construction, and Development",115,"local_real_estate_construction_and_development",2016,"state","01","Alabama","Alabama","state","alabama",FALSE,FALSE,"",115160,115160,1197385,11948,5247339,45565.64,52,FALSE,TRUE,0.9339373,0.10414773,0.012673175,26,26,41,41,35,35,29,29,"2018-10-01T03:23:00.952Z",NA,NA,NA,NA,"local"
"cluster/state/01/114/2016","cluster","Local Community and Civic Organizations",114,"local_community_and_civic_organizations",2016,"state","01","Alabama","Alabama","state","alabama",FALSE,FALSE,"",63087,62337,306167,6762,1275306,20458.252,19,FALSE,TRUE,1.0105655,0.057054255,0.013712991,24,24,48,48,21,21,22,22,"2018-10-01T03:23:00.952Z",NA,NA,NA,NA,"local"
"cluster/state/01/113/2016","cluster","Local Education and Training",113,"local_education_and_training",2016,"state","01","Alabama","Alabama","state","alabama",FALSE,FALSE,"",13297,13287,80491,476,336725,25342.44,5,FALSE,TRUE,0.64514714,0.012025463,0.008754402,30,30,31,31,46,46,30,30,"2018-10-01T03:23:00.952Z",NA,NA,NA,NA,"local"
"cluster/state/01/112/2016","cluster","Local Commercial Services",112,"local_commercial_services",2016,"state","01","Alabama","Alabama","state","alabama",FALSE,FALSE,"",125063,125063,924816,7276,4194806,33541.543,32,FALSE,TRUE,1.0178827,0.11310375,0.013812281,24,24,44,44,12,12,27,27,"2018-10-01T03:23:00.952Z",NA,NA,NA,NA,"local"
"cluster/state/01/111/2016","cluster","Local Hospitality Establishments",111,"local_hospitality_establishments",2016,"state","01","Alabama","Alabama","state","alabama",FALSE,FALSE,"",174142,174142,594213,8776,2526588,14508.78,12,FALSE,TRUE,0.9898375,0.15748952,0.0134317195,25,25,42,42,24,24,27,27,"2018-10-01T03:23:00.952Z",NA,NA,NA,NA,"local"
"cluster/state/01/110/2016","cluster","Local Entertainment and Media",110,"local_entertainment_and_media",2016,"state","01","Alabama","Alabama","state","alabama",FALSE,FALSE,"",18179,18119,112678,1257,472518,26078.592,12,FALSE,TRUE,0.951286,0.016440619,0.01290859,25,25,31,31,34,34,25,25,"2018-10-01T03:23:00.952Z",NA,NA,NA,NA,"local"
"cluster/state/01/109/2016","cluster","Local Retailing of Clothing and General Merchandise",109,"local_retailing_of_clothing_and_general_merchandise",2016,"state","01","Alabama","Alabama","state","alabama",FALSE,FALSE,"",84278,46778,177178,4087,748790,16007.312,15,FALSE,TRUE,1.2639135,0.07621885,0.017150827,23,23,48,48,7,7,18,18,"2018-10-01T03:23:00.952Z",NA,NA,NA,NA,"local"
"cluster/state/01/108/2016","cluster","Local Motor Vehicle Products and Services",108,"local_motor_vehicle_products_and_services",2016,"state","01","Alabama","Alabama","state","alabama",FALSE,FALSE,"",67106,67106,548843,8226,2316719,34523.277,25,FALSE,TRUE,1.1176618,0.060688935,0.015166246,24,24,37,37,19,19,19,19,"2018-10-01T03:23:00.952Z",NA,NA,NA,NA,"local"
"cluster/state/01/107/2016","cluster","Local Financial Services",107,"local_financial_services",2016,"state","01","Alabama","Alabama","state","alabama",FALSE,FALSE,"",45734,45734,739821,4231,2639348,57710.85,6,FALSE,TRUE,1.1021813,0.04136065,0.014956182,23,23,23,23,14,14,25,25,"2018-10-01T03:23:00.952Z",NA,NA,NA,NA,"local"
"cluster/state/01/106/2016","cluster","Local Household Goods and Services",106,"local_household_goods_and_services",2016,"state","01","Alabama","Alabama","state","alabama",FALSE,FALSE,"",25021,25021,196280,3312,828569,33114.945,15,FALSE,TRUE,1.0980794,0.022628346,0.014900521,24,24,23,23,18,18,26,26,"2018-10-01T03:23:00.952Z",NA,NA,NA,NA,"local"
"cluster/state/01/105/2016","cluster","Local Logistical Services",105,"local_logistical_services",2016,"state","01","Alabama","Alabama","state","alabama",FALSE,FALSE,"",26002,25827,243844,1962,1059810,41034.965,14,FALSE,TRUE,0.82913417,0.023515537,0.011251036,29,29,29,29,46,46,26,26,"2018-10-01T03:23:00.952Z",NA,NA,NA,NA,"local"
"cluster/state/01/104/2016","cluster","Local Utilities",104,"local_utilities",2016,"state","01","Alabama","Alabama","state","alabama",FALSE,FALSE,"",23737,21987,495190,1046,1637283,74465.96,8,FALSE,TRUE,1.2524568,0.02146713,0.016995365,20,20,25,25,9,9,22,22,"2018-10-01T03:23:00.952Z",NA,NA,NA,NA,"local"
"cluster/state/01/103/2016","cluster","Local Health Services",103,"local_health_services",2016,"state","01","Alabama","Alabama","state","alabama",FALSE,FALSE,"",232708,232708,2566970,10232,11196460,48113.773,34,FALSE,TRUE,0.98423576,0.2104551,0.013355706,26,26,32,32,33,33,26,26,"2018-10-01T03:23:00.952Z",NA,NA,NA,NA,"local"
"cluster/state/01/102/2016","cluster","Local Personal Services (Non-Medical)",102,"local_personal_services_non_medical",2016,"state","01","Alabama","Alabama","state","alabama",FALSE,FALSE,"",29976,29906,146204,4143,627358,20977.664,22,FALSE,TRUE,0.7969894,0.02710952,0.010814844,28,28,46,46,49,49,27,27,"2018-10-01T03:23:00.952Z",NA,NA,NA,NA,"local"
"cluster/state/01/101/2016","cluster","Local Food and Beverage Processing and Distribution",101,"local_food_and_beverage_processing_and_distribution",2016,"state","01","Alabama","Alabama","state","alabama",FALSE,FALSE,"",51436,51436,341449,2542,1408340,27380.434,22,FALSE,TRUE,0.8705336,0.04651739,0.01181281,28,28,25,25,43,43,28,28,"2018-10-01T03:23:00.952Z",NA,NA,NA,NA,"local"
"cluster/state/01/51/2016","cluster","Wood Products",51,"wood_products",2016,"state","01","Alabama","Alabama","state","alabama",TRUE,FALSE,"",12537,12537,120341,312,509642,40651.03,13,FALSE,TRUE,2.6907477,0.021811824,0.0341847,11,11,26,26,9,9,20,20,"2018-10-01T03:23:00.952Z",TRUE,TRUE,TRUE,FALSE,"traded"
"cluster/state/01/50/2016","cluster","Water Transportation",50,"water_transportation",2016,"state","01","Alabama","Alabama","state","alabama",TRUE,FALSE,"",7591,7161,96656,108,411378,57447.004,11,FALSE,TRUE,1.999977,0.013206792,0.02540878,11,11,22,22,9,9,14,14,"2018-10-01T03:23:00.952Z",TRUE,TRUE,TRUE,FALSE,"traded"
"cluster/state/01/49/2016","cluster","Vulcanized and Fired Materials",49,"vulcanized_and_fired_materials",2016,"state","01","Alabama","Alabama","state","alabama",TRUE,FALSE,"",7421,3661,41764,85,169967,46426.387,10,FALSE,TRUE,2.3579931,0.012911026,0.02995721,13,13,24,24,6,6,19,19,"2018-10-01T03:23:00.952Z",TRUE,TRUE,TRUE,FALSE,"traded"
"cluster/state/01/48/2016","cluster","Video Production and Distribution",48,"video_production_and_distribution",2016,"state","01","Alabama","Alabama","state","alabama",TRUE,FALSE,"",399,214,3008,58,13954,65205.61,3,FALSE,TRUE,0.11455769,0.0006941786,0.0014554024,30,30,11,11,36,36,33,33,"2018-10-01T03:23:00.952Z",TRUE,FALSE,FALSE,FALSE,"traded"
"cluster/state/01/47/2016","cluster","Upstream Metal Manufacturing",47,"upstream_metal_manufacturing",2016,"state","01","Alabama","Alabama","state","alabama",TRUE,FALSE,"",15693,11608,191071,108,789305,67996.64,16,FALSE,TRUE,3.2202034,0.027302621,0.040911186,8,8,4,4,3,3,19,19,"2018-10-01T03:23:00.952Z",TRUE,TRUE,TRUE,TRUE,"traded"
